,rating,date,title,content,helpful count
67,5,22.04.12,국밥 선택: 마라국밥,,0
68,5,22.04.18,국밥 선택: 시그니처 불꽃국밥,,0
69,5,22.04.18,국밥 선택: 돼지국밥,,0
70,5,22.04.28,국밥 선택: 시그니처 불꽃국밥,,0
71,5,22.04.28,국밥 선택: 돼지국밥,,0
72,4,22.03.11,국밥 선택: 시그니처 불꽃국밥,,0
73,3,22.03.09,국밥 선택: 마라국밥,,0
74,5,22.03.17,국밥 선택: 돼지국밥,,0
75,5,22.03.17,국밥 선택: 마라국밥,,0
76,5,22.03.09,국밥 선택: 돼지국밥,,0
77,5,22.03.24,국밥 선택: 시그니처 불꽃국밥,,0
78,5,22.03.09,국밥 선택: 시그니처 불꽃국밥,,0
79,5,22.03.01,국밥 선택: 돼지국밥,,0
80,5,22.03.07,국밥 선택: 돼지국밥,,0
81,5,22.02.27,국밥 선택: 시그니처 불꽃국밥,,0
82,5,22.02.20,국밥 선택: 시그니처 불꽃국밥,,0
83,5,22.03.01,국밥 선택: 시그니처 불꽃국밥,,0
84,5,22.03.07,국밥 선택: 돼지국밥,,0
85,5,22.03.25,국밥 선택: 돼지국밥,,0
86,5,22.03.11,국밥 선택: 돼지국밥,,0
87,5,22.02.27,국밥 선택: 돼지국밥,,0
88,5,22.02.18,국밥 선택: 시그니처 불꽃국밥,,0
89,5,22.01.24,국밥 선택: 시그니처 불꽃국밥,,0
90,5,22.01.24,국밥 선택: 돼지국밥,,0
91,5,22.03.17,국밥 선택: 돼지국밥,,0
92,5,22.03.01,국밥 선택: 돼지국밥,,0
93,5,22.03.16,국밥 선택: 돼지국밥,,0
94,5,22.03.01,국밥 선택: 시그니처 불꽃국밥,,0
